Student ID/CLID,fico_score
909013000A1I5C001,643
909013000A1HJ4008,646
909013000A1IUC003,
909013000A1IDO003,616
909013000A1HRG00G,698
909013000A1HU8005,640
909013000A1HX0005,526
909013000A1HU8009,605
909013000A1HRG00Q,667
909013000A1HZS002,673
909013000A1HRG00X,484
909013000A1HU800N,749
909013000A1HX000H,655
909013000A1IDO004,705
909013000A1IUC005,680
909013000A1HZS008,647
909013000A1HZS009,761
909013000A1HZS00A,598
909013000A1HZS00F,685
909013000A1HZS00H,0
909013000A1I2K006,534
909013000A1I2K00C,729
909013000A1IUC006,508
909013000A1IX4005,0
909013000A1IAW00F,562
909013000A1IDO00A,
909013000A1IGG008,0
909013000A1IGG00I,
909013000A1IGG00J,630
909013000A1IUC009,615
909013000A1IUC00E,636
909013000A1IX4007,581
909013000A1IUC00O,0
909013000A1IZW00E,552
909013000A1JOW005,
909013000A1JGK00U,679
909013000A1JGK00V,733
909013000A1JGK00W,0
909013000A1JGK00X,615
909013000A1K5K003,
909013000A1JJC00I,683
909013000A1K00002,
909013000A1JM400H,685
909013000A1JOW00D,645
909013000A1JOW00E,611
909013000A1JOW00F,0
909013000A1JOW00G,547
909013000A1K00006,690
909013000A1JX800V,564
909013000A1JX800Z,638
909013000A1K0000C,0
909013000A1K2S00E,713
909013000A1K2S00I,567
909013000A1K5K005,753
909013000A1K2S00M,733
909013000A1KGO005,0
909013000A1K8C004,682
909013000A1K8C009,660
909013000A1KJG008,646
909013000A1KJG00A,639
909013000A1KGO00D,561
909013000A1KP0007,0
909013000A1KM8008,607
909013000A1KM800C,719
909013000A1KP0008,737
909013000A1L2W005,466
909013000A1M5S003,542
909013000A1L2W00A,0
909013000A1L2W00G,653
909013000A1L2W00J,0
909013000A1L2W00K,604
909013000A1L2W00O,694
909013000A1MMG001,0
909013000A1LB800B,776
909013000A1LJK00J,698
909013000A1LMC00N,523
909013000A1LP400A,592
909013000A1LRW007,0
909013000A1MBC005,0
909013000A1LRW00E,727
909013000A1M5S007,0
909013000A1M5S008,0
909013000A1M8K00F,580
909013000A1M8K00H,615
909013000A1N5W004,0
909013000A1MS0003,616
909013000A1MMG00A,0
909013000A1MBC00H,674
909013000A1ME4009,692
909013000A1MP8003,0
909013000A1MUS006,731
909013000A1MXK003,582
909013000A1MXK00A,706
909013000A1N0C008,504
909013000A1O0G003,722
909013000A1NXO00A,613
909013000A1OBK002,702
909013000A1O0G00J,554
909013000A1OH4002,0
909013000A1OEC00D,708
909013000A1OJW005,558
909013000A1OJW00E,695
909013000A1PBO00C,0
909013000A1PEG009,805
909013000A1Q6800G,689
909013000A1QPO003,662
909013000A1QHC00A,769
909013000A1QHC00H,620
909013000A1QK400N,609
909013000A1QPO006,721
909013000A1QPO00E,678
909013000A1QPO00H,736
909013000A1RN0008,609
909013000A1S3O00C,756
909013000A1S6G00I,668
909013000A10EH00F,747
909013000A10K100F,652
909013000A10MT00F,745
909013000A10V500K,728
909013000A110P002,724
909013000A11HD00A,698
909013000A11K5007,782
909013000A11MX002,730
909013000A11HD015,635
909013000A11MX00C,804
909013000A11MX00E,704
909013000A11MX00F,601
909013000A11MX00I,715
