VEMOACCOUNTNUMBER,VEMOCONTRACTNUMBER,ASOFDATE,STATUS,STATUS_GROUP,DAYSPASTDUE
10007240,1000002218,2020-05-31,Deferment,Post-Grace,0
10007240,1000002218,2020-06-30,Deferment,Post-Grace,0
10007240,1000002218,2020-07-31,Deferment,Post-Grace,0
10007240,1000002218,2020-08-31,Deferment,Post-Grace,0
10007240,1000002218,2020-09-30,Payment,Post-Grace,0
10007240,1000002218,2020-10-31,Payment,Post-Grace,0
10007240,1000002218,2020-11-30,Payment,Post-Grace,0
10007240,1000002218,2020-12-31,Payment,Post-Grace,0
10007240,1000002218,2021-01-31,Payment,Post-Grace,0
10007240,1000002218,2021-02-28,Payment,Post-Grace,0
10007240,1000002218,2021-03-31,Payment,Post-Grace,0
10007240,1000002218,2021-04-30,Payment,Post-Grace,0
10007240,1000002218,2021-05-31,Payment,Post-Grace,0
10007240,1000002218,2021-06-30,Payment,Post-Grace,0
10007240,1000002218,2021-07-31,Payment,Post-Grace,0
10007240,1000002218,2021-08-31,Payment,Post-Grace,0
10007240,1000002218,2021-09-30,Payment,Post-Grace,0
10007240,1000002218,2021-10-31,Payment,Post-Grace,0
10007240,1000002218,2021-11-30,Payment,Post-Grace,0
10007240,1000002218,2021-12-31,Payment,Post-Grace,0
10007240,1000002218,2022-01-31,Payment,Post-Grace,0
10007240,1000002218,2022-02-28,Payment,Post-Grace,0
10007240,1000002218,2022-03-31,Payment,Post-Grace,0
10007241,1000002219,2019-01-31,Fully Funded,data exception,0
10007241,1000002219,2019-02-28,Fully Funded,data exception,0
10007241,1000002219,2019-03-31,Grace,Grace,0
10007241,1000002219,2019-04-30,Grace,Grace,0
10007241,1000002219,2019-05-31,Payment,Post-Grace,0
10007241,1000002219,2019-06-30,Payment,Post-Grace,0
10007241,1000002219,2019-07-31,Payment,Post-Grace,0
10007241,1000002219,2019-08-31,Payment,Post-Grace,0
10007241,1000002219,2019-09-30,Payment,Post-Grace,0
10007241,1000002219,2019-10-31,Payment,Post-Grace,0
10007241,1000002219,2019-11-30,Payment,Post-Grace,0
10007241,1000002219,2019-12-31,Payment,Post-Grace,30
10007241,1000002219,2020-01-31,Deferment,Post-Grace,0
10007241,1000002219,2020-02-29,Deferment,Post-Grace,0
10007241,1000002219,2020-03-31,Payment,Post-Grace,0
10007241,1000002219,2020-04-30,Deferment,Post-Grace,0
10007241,1000002219,2020-05-31,Deferment,Post-Grace,0
10007241,1000002219,2020-06-30,Deferment,Post-Grace,0
10007241,1000002219,2020-07-31,Payment,Post-Grace,0
10007241,1000002219,2020-08-31,Payment,Post-Grace,30
10007241,1000002219,2020-09-30,Payment,Post-Grace,60
10007241,1000002219,2020-10-31,Payment,Post-Grace,91
10007241,1000002219,2020-11-30,Payment,Post-Grace,121
10007241,1000002219,2020-12-31,Payment,Post-Grace,152
10007241,1000002219,2021-01-31,Payment,Post-Grace,183
10007241,1000002219,2021-02-28,Payment,Post-Grace,211
10007241,1000002219,2021-03-31,Payment,Post-Grace,242
10007241,1000002219,2021-04-30,Payment,Post-Grace,272
10007241,1000002219,2021-05-31,Payment,Post-Grace,303
10007241,1000002219,2021-06-30,Payment,Post-Grace,333
10007241,1000002219,2021-07-31,Payment,Post-Grace,364
10007241,1000002219,2021-08-31,Payment,Post-Grace,395
10007241,1000002219,2021-09-30,Payment,Post-Grace,425
10007241,1000002219,2021-10-31,Payment,Post-Grace,456
10007241,1000002219,2021-11-30,Payment,Post-Grace,486
10007241,1000002219,2021-12-31,Payment,Post-Grace,517
10007241,1000002219,2022-01-31,Payment,Post-Grace,548
10007241,1000002219,2022-02-28,Payment,Post-Grace,576
10007241,1000002219,2022-03-31,Payment,Post-Grace,607
10007242,1000002220,2019-01-31,Fully Funded,data exception,0
10007242,1000002220,2019-02-28,Fully Funded,data exception,0
10007242,1000002220,2019-03-31,Grace,Grace,0
10007242,1000002220,2019-04-30,Grace,Grace,0
10007242,1000002220,2019-05-31,Payment,Post-Grace,0
10007242,1000002220,2019-06-30,Payment,Post-Grace,0
10007242,1000002220,2019-07-31,Payment,Post-Grace,0
10007242,1000002220,2019-08-31,Payment,Post-Grace,0
10007242,1000002220,2019-09-30,Payment,Post-Grace,15
10007242,1000002220,2019-10-31,Payment,Post-Grace,16
10007242,1000002220,2019-11-30,Payment,Post-Grace,0
10007242,1000002220,2019-12-31,Payment,Post-Grace,16
10007242,1000002220,2020-01-31,Payment,Post-Grace,0
10007242,1000002220,2020-02-29,Payment,Post-Grace,14
10007242,1000002220,2020-03-31,Payment,Post-Grace,0
10007242,1000002220,2020-04-30,Payment,Post-Grace,0
10007242,1000002220,2020-05-31,Payment,Post-Grace,0
10007242,1000002220,2020-06-30,Payment,Post-Grace,15
10007242,1000002220,2020-07-31,Payment,Post-Grace,16
10007242,1000002220,2020-08-31,Payment,Post-Grace,47
10007242,1000002220,2020-09-30,Payment,Post-Grace,15
10007242,1000002220,2020-10-31,Payment,Post-Grace,0
10007242,1000002220,2020-11-30,Payment,Post-Grace,0
10007242,1000002220,2020-12-31,Payment,Post-Grace,0
10007242,1000002220,2021-01-31,Payment,Post-Grace,0
10007242,1000002220,2021-02-28,Payment,Post-Grace,0
10007242,1000002220,2021-03-31,Payment,Post-Grace,0
